// Side SubType Specific

//////////////////////
// Side 1 = Syria   //
//////////////////////

1	7	1
1	7	1
1	8	1

///////////////////
// Side 2 = Egpyt//
///////////////////

2	8	1
2	7	1
2	6	2

//////////////////
// Side 3 = IDF	//
//////////////////

3	8	1
3	9	1
3	7	2

/////////////////////
// Side 4 = Soviet //
/////////////////////

4	8	1
4	9	1
4	3	7
4	7	1

/////////////////
// Side 5 = US //
/////////////////

// 5	1	1
5	1	3
5	4	4
5	4	5
5	4	3
5	3	4
5	3	6
5	3	9
5	3	10
5	3	13
5	3	14
5	3	15
5	5	3
5	6	2
