# NAVAIDS FOR ISRAEL THEATER v1.0 - FALCON BMS 4.33
#
#------- ISRAEL -------
# BEN GURION
27 082 X 3 100 1 331000 132100 11090 10870 11030 11190
# EILAT
10 057 X 11 30 1 0 119000 0 0 0 0
# HATZERIM
47 100 X 7 30 1 341000 131150 0 11150 0 0
# HATZOR
48 117 X 6 25 1 342050 125750 10930 0 0 0
# MEGIDDO (Strip)
7 001 Y 1 0 1 336100 0 0 0 0 0
# NEVATIM
555 052 X 8 25 1 341500 121400 10850 0 0 0
# OVDA
225 088 X 10 20 1 340000 129900 10970 0 0 0
# PALMACHIM
560 079 X 4 50 1 341350 120900 0 0 0 0
# RAMAT DAVID
296 045 X 0 40 1 341400 118600 0 0 11110 0
# RAMON
561 039 X 9 50 1 340500 122700 0 11050 0 0
# ROSH PINA (Strip)
32 067 Y 999 0 1 337200 0 0 0 0 0
# SDE DOV
353 083 X 2 25 1 343350 124000 10910 0 0 0
# TEL NOF
357 059 X 5 25 1 342000 132000 0 0 11090 0
# YASSER ARAFAT INTL
28 080 X 999 40 1 0 120400 10890 0 0 0
#------- CYPRUS -------
# AKROTIRI
512 107 X 999 200 1 339850 130075 10970 0 0 0
#------- EGYPT -------
# ABU RUDIES
371 002 Y 999 0 1 0 123500 0 0 0 0
# ABU SUWAYR
23 003 Y 999 0 1 0 121450 0 0 0 0
# AL MANSURHA
392 004 Y 999 0 1 0 122100 0 0 0 0
# AL MANZILAH
470 005 Y 999 0 1 0 121600 0 0 0 0
# AL MINYA
489 006 Y 999 0 1 0 123300 0 0 0 0
# AL RHAMANIYA
490 007 Y 999 0 1 0 123400 0 0 0 0
# AL ZAQAZIQ
494 008 Y 999 0 1 0 121800 0 0 0 0
# ALISMAYLIA
497 010 Y 999 0 1 352700 118550 0 0 0 0
# AS SALIHIYA
505 011 Y 999 0 1 0 121350 0 0 0 0
# AYSUT
506 124 X 999 200 1 0 118150 11130 0 0 0
# BALUZA
507 012 Y 999 0 1 0 120500 0 0 0 0
# BEN SUEF
517 013 Y 999 0 1 289400 127100 0 0 0 0
# BILBAYS
63 014 Y 999 0 1 0 122000 0 0 0 0
# BILBAYS 2
527 015 Y 999 0 1 0 122050 0 0 0 0
# BIR GIFGAFA
529 017 Y 999 0 1 0 119650 0 0 0 0
# BIR HASSANA
151 016 Y 999 0 1 0 119750 0 0 0 0
# CAIRO ALMAZA
537 110 X 999 40 1 263000 132900 10930 0 0 0
# CAIRO INT
226 072 X 999 150 1 0 119550 11030 11090 10870 10890
# CAIRO WEST
539 114 X 999 100 1 274000 131200 0 0 0 10890
# EL ARISH
540 084 X 999 150 1 0 121000 0 0 0 0
# EL GORA
