Indx 98
prf 980 (Not used)

CustomSymbolType 2

TimeToLock 500
MaxTwstargets 6
Timeskillfactor 100

Timetosearch1 8000
Timetosearch2 4400
Timetosearch3 4400
Timetoacuire 4400
Timetoguide 3000

Timetocoast 4000

Rangetosearch1 394000
Rangetosearch2 346000
Rangetosearch3 134300
Rangetoacuire 261000
Rangetoguide 145820

Sweeptimesearch1 4400
Sweeptimesearch2 2200
Sweeptimesearch3 2200
Sweeptimeacuire 5100
Sweeptimeguide 3000

Sweeptimecoast 1500

Rwrsoundsearch1 100
Rwrsoundsearch2 100
Rwrsoundsearch3 100
Rwrsoundacuire 100
Rwrsoundguide 101

Rwrsymbolsearch1 117
Rwrsymbolsearch2 117
Rwrsymbolsearch3 117
Rwrsymbolacuire 117
Rwrsymbolguide 117

Bandsearch1 I
Bandsearch2 I
Bandsearch3 I
Bandacuire I
Bandguide I

Typesearch1 P 
Typesearch2 P
Typesearch3 P
Typeacuire 
Typeguide D

PRIsearch1 2500
PRIsearch2 2500
PRIsearch3 2500
PRIacuire 1266
PRIguide 338

AirFireRate 4000
Maxmissilesintheair 4

Elevationbumpamounta 140
Elevationbumpamountb 60

AverageSpeed 1500
MaxAngleDiffTws 0.0
MaxRangeDiffTws 0.0
MaxAngleDiffSam 0.0
MaxRangeDiffSam 0.0
MaxNctrRange 0
NctrDelta 0

MinEngagementAlt 98
MinEngagementRange 2624
