#  F-16 Data Set
#
#                   SIMULATION INPUT PANEL            
#                
# INPUT MASS AND GEOMETRIC PROPERTIES:
      18238.00 # WEIGHT (LBS)
        300.00 # Area (Sq. Ft.)
       7162.00 # Fuel (Lbs)
#
#
# ANGLE OF ATTACK AND SIDESLIP LIMITS
         35.00 # AOAMAX
        -15.00 # AOAMIN
         15.00 # BETMAX
        -15.00 # BETMIN

# Maximum G's for structural limit
          9.00 # Gmax
# Maximum roll angle
          190.0
# Minimum Vcas Speed
	250
# Maximum Vcas Speed
	900
# Attack Speed
        450
# Max Theta
        89
#
# Num Gear
3
# Nose Gear X, Y, Z, Rng
15.5		0.0		6.0		90.0
# Lt Gear X, Y, Z, Rng
29.75		-3.875		6.0		75.0
# Rt Gear X, Y, Z, Rng
29.75		3.875		6.0		75.0
#
# CG Location in ft from nose
27.0
# Length in ft
44.3
# Span in Ft
32.0
# Fus Radius in ft
3.0
# Tail height in ft
9.5
#
#     BASIC AERODYNAMIC COEFFICIENTS 
#
#
#     MACH BREAKPOINTS
#
# Num MACH         
7
     0.0   	0.2		0.8		0.9		1.0     1.1    2.5 
#
#     ALPHA BREAKPOINTS
#
# Num ALPHA        
21
   -20.0   -10.0    -5.0     0.0     5.0    10.0    15.0
    20.0    25.0    30.0    35.0    40.0    45.0    50.0
    55.0    60.0    65.0    70.0    75.0    80.0    90.0
#
#     LIFT COEFFICIENT  CL 
#
# Table Multiplier
1.0
#
# MACH    0.0
    -0.8856     -0.6644     -0.2791    -0.0250     0.3650     0.7471     1.1019
     1.3764      1.5576      1.8158     1.8942     1.8831     1.7280     1.4951
     1.3900      1.2030      1.0146     0.8262     0.5505     0.3582     0.0000
#
# MACH    0.2
    -0.8905     -0.6685     -0.2824    -0.0262     0.3717     0.7521     1.1088
     1.3808      1.5592      1.8171     1.9005     1.8908     1.7328     1.5072
     1.4024      1.2069      1.0181     0.8322     0.5578     0.3619     0.0000
#
# MACH    0.8
    -0.9100     -0.6850     -0.2956    -0.0310     0.3987     0.7721     1.1364
     1.3987      1.5654      1.8223     1.9256     1.9217     1.8488     1.5556 
     1.4521      1.2226      1.0321     0.8564     0.5872     0.3769     0.0000
# MACH    0.9
    -0.9542     -0.7086     -0.3276    -0.0442     0.4312     0.8021     1.1455
     1.4216      1.5877      1.8433     1.9488     1.9532     1.8664     1.5231
     1.4765      1.2543      1.0856     0.8843     0.6123     0.3822     0.0000
#
# MACH    1.0
    -0.9788     -0.7100     -0.3332    -0.0466     0.4398     0.8099     1.1502
     1.4266      1.5986      1.8571     1.9560     1.9660     1.8752     1.5349
     1.4809      1.2453      1.0655     0.8021     0.5876     0.2221     0.0000
#
# MACH    1.1
     -0.9533     -0.6994     -0.3122    -0.0409     0.4221     0.7865     1.1355
      1.4176      1.5620      1.8228     1.9211     1.9340     1.8433     1.5000
      1.4521      1.2304      1.0590     0.7780     0.4432     0.1540     0.0000
#
# MACH    2.5
     -0.9067     -0.6277     -0.2504    -0.0300     0.3186     0.7266     1.1102
      1.3804      1.5605      1.8209     1.9006     1.9104     1.7332     1.5222
      1.4223      1.2000      0.9210     0.3320     0.2004     0.0600     0.0213
#
#     DRAG COEFFICIENT  CD 
#
# Table Multiplier
0.79
#
#21
#     -20.0       -10.0        -5.0        0.0        5.0       10.0       15.0
#      20.0        25.0        30.0       35.0       40.0       45.0       50.0
#      55.0        60.0        65.0       70.0       75.0       80.0       90.0
# MACH    0.0
     0.3343      0.2711      0.1289     0.0611     0.0483     0.1025     0.2304
     0.5805      0.7286      1.0888     1.4005     1.7219     1.9253     2.1244
     2.2199      2.3185      2.3906     2.4628     2.5288     2.5358     3.7325
#
# MACH    0.2
     0.2674      0.2169      0.1031     0.0489     0.0386     0.0820     0.1843
     0.3644      0.5829      0.8710     1.1204     1.3775     1.5402     1.6995
     1.7759      1.8548      1.9125     1.9702     2.0230     2.0286     2.9860
#
# MACH    0.8
     0.2802      0.2298      0.1106     0.0509     0.0412     0.0899     0.1905
     0.3732      0.5898      0.8800     1.1200     1.3878     1.5502     1.7107
     1.7866      1.8643      1.9225     1.9900     2.1220     2.2236     2.4120
#
# MACH    0.9
     0.2904      0.2322      0.1209     0.0533     0.0567     0.0970     0.1987
     0.3889      0.6008      0.8965     1.2388     1.3905     1.5666     1.7322
     1.8006      1.8854      1.9335     2.1466     2.2254     2.3268     2.4450
#
# MACH    1.0
     0.3304      0.2432      0.1541     0.0788     0.0956     0.1330     0.2053
